数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz000001,平安银行,1991-04-03,49.0,49.0,49.0,49.0,40.0,100.0,5000.0
sz000001,平安银行,1991-04-04,48.76,48.76,48.76,48.76,49.0,300.0,15000.0
sz000001,平安银行,1991-04-05,48.52,48.52,48.52,48.52,48.76,200.0,10000.0
sz000001,平安银行,1991-04-08,48.04,48.04,48.04,48.04,48.52,200.0,10000.0
sz000001,平安银行,1991-04-09,47.8,47.8,47.8,47.8,48.04,400.0,19000.0
sz000001,平安银行,1991-04-10,47.56,47.56,47.56,47.56,47.8,1500.0,71000.0
sz000001,平安银行,1991-04-12,47.08,47.08,47.08,47.08,47.56,800.0,38000.0
sz000001,平安银行,1991-04-16,46.38,46.38,46.38,46.38,47.08,200.0,9000.0
sz000001,平安银行,1991-04-17,46.15,46.15,46.15,46.15,46.38,100.0,5000.0
sz000001,平安银行,1991-04-18,45.92,45.92,45.92,45.92,46.15,400.0,18000.0
sz000001,平安银行,1991-04-19,45.69,45.69,45.69,45.69,45.92,200.0,9000.0
sz000001,平安银行,1991-04-23,45.0,45.0,45.0,45.0,45.46,2800.0,126000.0
sz000001,平安银行,1991-04-24,44.78,44.78,44.78,44.78,45.0,1600.0,72000.0
sz000001,平安银行,1991-04-25,44.56,44.56,44.56,44.56,44.78,1500.0,67000.0
sz000001,平安银行,1991-04-26,44.34,44.34,44.34,44.34,44.56,800.0,35000.0
sz000001,平安银行,1991-04-29,43.9,43.9,43.9,43.9,44.34,400.0,17000.0
sz000001,平安银行,1991-04-30,43.68,43.68,43.68,43.68,43.9,200.0,9000.0
sz000001,平安银行,1991-05-02,43.46,43.46,43.46,43.46,30.99,200.0,9000.0
sz000001,平安银行,1991-05-03,43.24,43.24,43.24,43.24,43.46,300.0,13000.0
sz000001,平安银行,1991-05-07,42.59,42.59,42.59,42.59,43.02,200.0,8000.0
sz000001,平安银行,1991-05-08,42.38,42.38,42.38,42.38,42.59,10900.0,462000.0
sz000001,平安银行,1991-05-09,42.17,42.17,42.17,42.17,42.38,1500.0,63000.0
sz000001,平安银行,1991-05-10,41.96,41.96,41.96,41.96,42.17,2000.0,84000.0
sz000001,平安银行,1991-05-13,41.54,41.54,41.54,41.54,41.96,1900.0,79000.0
sz000001,平安银行,1991-05-14,41.33,41.33,41.33,41.33,41.54,5500.0,227000.0
sz000001,平安银行,1991-05-15,41.12,41.12,41.12,41.12,41.33,38700.0,1591000.0
sz000001,平安银行,1991-05-16,40.91,40.91,40.91,40.91,41.12,49300.0,2017000.0
sz000001,平安银行,1991-05-17,40.71,40.71,40.71,40.71,40.91,41900.0,1706000.0
sz000001,平安银行,1991-05-20,40.31,40.31,40.31,40.31,40.71,5100.0,205000.0
sz000001,平安银行,1991-05-21,40.11,40.11,40.11,40.11,40.31,6300.0,253000.0
sz000001,平安银行,1991-05-22,39.91,39.91,39.91,39.91,40.11,4300.0,171000.0
sz000001,平安银行,1991-05-23,39.71,39.71,39.71,39.71,39.91,1700.0,67000.0
sz000001,平安银行,1991-05-24,39.51,39.51,39.51,39.51,39.71,300.0,12000.0
sz000001,平安银行,1991-05-27,39.11,39.11,39.11,39.11,39.51,500.0,19000.0
sz000001,平安银行,1991-05-28,38.91,38.91,38.91,38.91,39.11,300.0,12000.0
sz000001,平安银行,1991-05-29,38.72,38.72,38.72,38.72,38.91,3600.0,139000.0
sz000001,平安银行,1991-05-30,38.53,38.53,38.53,38.53,38.72,1400.0,54000.0
sz000001,平安银行,1991-05-31,38.34,38.34,38.34,38.34,38.53,100.0,4000.0
sz000001,平安银行,1991-06-03,37.96,37.96,37.96,37.96,38.34,700.0,26000.0
sz000001,平安银行,1991-06-04,37.77,37.77,37.77,37.77,37.96,100.0,4000.0
sz000001,平安银行,1991-06-06,37.39,37.39,37.39,37.39,37.77,400.0,15000.0
sz000001,平安银行,1991-06-07,37.2,37.2,37.2,37.2,37.39,100.0,4000.0
sz000001,平安银行,1991-06-10,36.82,36.82,36.82,36.82,37.2,1500.0,55000.0
sz000001,平安银行,1991-06-11,36.64,36.64,36.64,36.64,36.82,1200.0,44000.0
sz000001,平安银行,1991-06-12,36.46,36.46,36.46,36.46,36.64,1500.0,55000.0
sz000001,平安银行,1991-06-13,36.28,36.28,36.28,36.28,36.46,3400.0,123000.0
sz000001,平安银行,1991-06-14,36.1,36.1,36.1,36.1,36.28,700.0,25000.0
sz000001,平安银行,1991-06-17,35.74,35.74,35.74,35.74,36.1,500.0,18000.0
