数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz000002,万科A,1991-01-29,14.58,14.58,14.58,14.58,1.0,300.0,22000.0
sz000002,万科A,1991-01-30,14.51,14.51,14.51,14.51,14.58,1700.0,123000.0
sz000002,万科A,1991-02-04,14.66,14.66,14.66,14.66,14.59,5600.0,410000.0
sz000002,万科A,1991-02-05,14.73,14.73,14.73,14.73,14.66,2900.0,213000.0
sz000002,万科A,1991-02-06,14.8,14.8,14.8,14.8,14.73,2900.0,215000.0
sz000002,万科A,1991-02-07,14.87,14.87,14.87,14.87,14.8,4800.0,357000.0
sz000002,万科A,1991-02-08,14.94,14.94,14.94,14.94,14.87,6600.0,493000.0
sz000002,万科A,1991-02-11,15.09,15.09,15.09,15.09,15.01,3300.0,249000.0
sz000002,万科A,1991-02-12,15.07,15.07,15.07,15.07,15.09,23600.0,1778000.0
sz000002,万科A,1991-02-13,15.25,15.25,15.25,15.25,15.07,3300.0,252000.0
sz000002,万科A,1991-02-22,15.33,15.33,15.33,15.33,15.25,11600.0,889000.0
sz000002,万科A,1991-02-25,15.33,15.33,15.33,15.33,15.41,41000.0,3143000.0
sz000002,万科A,1991-02-26,15.25,15.25,15.25,15.25,15.33,10000.0,762000.0
sz000002,万科A,1991-02-27,15.17,15.17,15.17,15.17,15.25,25800.0,1957000.0
sz000002,万科A,1991-02-28,15.09,15.09,15.09,15.09,15.17,4600.0,347000.0
sz000002,万科A,1991-03-01,15.01,15.01,15.01,15.01,15.09,2800.0,210000.0
sz000002,万科A,1991-03-04,14.86,14.86,14.86,14.86,14.03,3000.0,222000.0
sz000002,万科A,1991-03-05,14.79,14.79,14.79,14.79,14.86,2200.0,163000.0
sz000002,万科A,1991-03-06,14.72,14.72,14.72,14.72,14.79,2100.0,154000.0
sz000002,万科A,1991-03-07,14.65,14.65,14.65,14.65,14.72,500.0,37000.0
sz000002,万科A,1991-03-08,14.58,14.58,14.58,14.58,14.65,1000.0,73000.0
sz000002,万科A,1991-03-11,14.44,14.44,14.44,14.44,14.51,1500.0,108000.0
sz000002,万科A,1991-03-12,14.37,14.37,14.37,14.37,14.44,1300.0,93000.0
