Êý¾ÝÓÉÐÏ²»ÐÐÕûÀí£¬Î¢ÐÅ£ºxingbuxing0807
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
sh600001,ºªµ¦¸ÖÌú,1998-01-22,8.0,8.49,7.88,7.91,7.5,109192419.0,879181596.0,2531200000.0,9819244610.0
sh600001,ºªµ¦¸ÖÌú,1998-01-23,7.92,8.17,7.91,8.11,7.91,29841620.0,239735310.0,2595200000.0,10067518810.0
sh600001,ºªµ¦¸ÖÌú,1998-02-09,8.31,8.35,8.01,8.04,8.11,17788422.0,144566694.0,2572800000.0,9980622840.0
sh600001,ºªµ¦¸ÖÌú,1998-02-10,8.01,8.06,7.9,7.94,8.04,9783206.0,77782651.0,2540800000.0,9856485740.0
sh600001,ºªµ¦¸ÖÌú,1998-02-11,7.95,8.17,7.89,8.06,7.94,12123541.0,96769526.0,2579200000.0,10005450260.0
sh600001,ºªµ¦¸ÖÌú,1998-02-12,8.06,8.06,7.89,7.94,8.06,9604773.0,76179993.0,2540800000.0,9856485740.0
sh600001,ºªµ¦¸ÖÌú,1998-02-13,7.91,7.94,7.8,7.82,7.94,7507203.0,58875184.0,2502400000.0,9707521220.0
sh600001,ºªµ¦¸ÖÌú,1998-02-16,7.79,7.87,7.66,7.77,7.82,7433002.0,57476270.0,2486400000.0,9645452670.0
sh600001,ºªµ¦¸ÖÌú,1998-02-17,7.74,7.89,7.71,7.78,7.77,4426420.0,34505716.0,2489600000.0,9657866380.0
sh600001,ºªµ¦¸ÖÌú,1998-02-18,7.86,7.86,7.67,7.72,7.78,6479051.0,49937161.0,2470400000.0,9583384120.0
sh600001,ºªµ¦¸ÖÌú,1998-02-19,7.73,7.75,7.58,7.71,7.72,4787270.0,36779016.0,2467200000.0,9570970410.0
sh600001,ºªµ¦¸ÖÌú,1998-02-20,7.7,7.84,7.66,7.74,7.71,4545771.0,35228556.0,2476800000.0,9608211540.0
sh600001,ºªµ¦¸ÖÌú,1998-02-23,7.75,7.85,7.68,7.82,7.74,5878364.0,45775609.0,2502400000.0,9707521220.0
sh600001,ºªµ¦¸ÖÌú,1998-02-24,7.82,7.82,7.68,7.73,7.82,4102007.0,31724224.0,2473600000.0,9595797830.0
sh600001,ºªµ¦¸ÖÌú,1998-02-25,7.73,7.8,7.68,7.71,7.73,4000382.0,30877248.0,2467200000.0,9570970410.0
sh600001,ºªµ¦¸ÖÌú,1998-02-26,7.95,7.99,7.79,7.85,7.71,8520105.0,67122981.0,2512000000.0,9744762350.0
sh600001,ºªµ¦¸ÖÌú,1998-02-27,7.88,7.89,7.72,7.78,7.85,4364000.0,34079629.0,2489600000.0,9657866380.0
sh600001,ºªµ¦¸ÖÌú,1998-03-02,7.75,7.89,7.6,7.76,7.78,7142965.0,55201888.0,2483200000.0,9633038960.0
sh600001,ºªµ¦¸ÖÌú,1998-03-03,7.72,7.88,7.72,7.87,7.76,5904027.0,46181848.0,2518400000.0,9769589770.0
sh600001,ºªµ¦¸ÖÌú,1998-03-04,7.88,8.28,7.81,8.18,7.87,23041883.0,187204186.0,2617600000.0,10154414780.0
sh600001,ºªµ¦¸ÖÌú,1998-03-05,8.19,8.25,8.05,8.15,8.18,12893534.0,105125378.0,2608000000.0,10117173650.0
sh600001,ºªµ¦¸ÖÌú,1998-03-06,8.15,8.25,8.08,8.14,8.15,7737788.0,63127429.0,2604800000.0,10104759940.0
sh600001,ºªµ¦¸ÖÌú,1998-03-09,8.18,8.22,7.98,8.01,8.14,6694100.0,54235775.0,2563200000.0,9943381710.0
sh600001,ºªµ¦¸ÖÌú,1998-03-10,8.0,8.0,7.88,7.94,8.01,5002522.0,39654775.0,2540800000.0,9856485740.0
sh600001,ºªµ¦¸ÖÌú,1998-03-11,7.95,8.0,7.71,7.81,7.94,6046301.0,47427491.0,2499200000.0,9695107510.0
sh600001,ºªµ¦¸ÖÌú,1998-03-12,7.85,7.9,7.75,7.81,7.81,3006706.0,23456509.0,2499200000.0,9695107510.0
sh600001,ºªµ¦¸ÖÌú,1998-03-13,7.8,7.9,7.76,7.84,7.81,2263241.0,17678980.0,2508800000.0,9732348640.0
sh600001,ºªµ¦¸ÖÌú,1998-03-16,7.86,7.88,7.75,7.8,7.84,3352151.0,26100427.0,2496000000.0,9682693800.0
sh600001,ºªµ¦¸ÖÌú,1998-03-17,7.9,8.1,7.85,7.98,7.8,6138500.0,49034377.0,2553600000.0,9906140580.0
