数据由邢不行整理，微信：xingbuxing0807
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600006,东风汽车,1999-07-27,7.27,7.31,6.63,6.7,5.1,107249800.0,734412580.0,1659925000.0,6700000000.0
sh600006,东风汽车,1999-07-28,6.7,6.98,6.7,6.85,6.7,32242400.0,220726137.0,1697087500.0,6850000000.0
sh600006,东风汽车,1999-07-29,7.05,7.06,6.73,6.8,6.85,13575900.0,92844624.0,1684700000.0,6800000000.0
sh600006,东风汽车,1999-07-30,6.8,6.86,6.71,6.74,6.8,7753300.0,52278574.0,1669835000.0,6740000000.0
sh600006,东风汽车,1999-08-02,6.74,6.86,6.73,6.77,6.74,6593000.0,44700788.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-08-03,6.78,6.8,6.63,6.68,6.77,9514900.0,63470827.0,1654970000.0,6680000000.0
sh600006,东风汽车,1999-08-04,6.7,6.8,6.66,6.75,6.68,8469400.0,56958078.0,1672312500.0,6750000000.0
sh600006,东风汽车,1999-08-05,6.77,6.98,6.75,6.89,6.75,14603500.0,100529353.0,1706997500.0,6890000000.0
sh600006,东风汽车,1999-08-06,6.89,7.07,6.69,6.98,6.89,14542700.0,99815040.0,1729295000.0,6980000000.0
sh600006,东风汽车,1999-08-09,6.98,7.05,6.86,6.93,6.98,10283800.0,71431959.0,1716907500.0,6930000000.0
sh600006,东风汽车,1999-08-10,6.9,7.04,6.8,6.82,6.93,6168900.0,42527163.0,1689655000.0,6820000000.0
sh600006,东风汽车,1999-08-11,6.79,6.82,6.68,6.69,6.82,4005600.0,26993909.0,1657447500.0,6690000000.0
sh600006,东风汽车,1999-08-12,6.69,6.8,6.68,6.71,6.69,2367400.0,15903073.0,1662402500.0,6710000000.0
sh600006,东风汽车,1999-08-13,6.75,6.85,6.74,6.78,6.71,2820200.0,19155122.0,1679745000.0,6780000000.0
sh600006,东风汽车,1999-08-16,6.8,6.82,6.7,6.77,6.78,1864600.0,12594117.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-08-17,6.78,6.9,6.75,6.77,6.77,3666200.0,24966821.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-08-18,6.78,6.8,6.63,6.76,6.77,2824700.0,18905448.0,1674790000.0,6760000000.0
sh600006,东风汽车,1999-08-19,6.96,6.96,6.81,6.87,6.76,7660700.0,52617521.0,1702042500.0,6870000000.0
sh600006,东风汽车,1999-08-20,6.91,6.93,6.75,6.77,6.87,5523800.0,37813959.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-08-23,6.76,6.83,6.71,6.77,6.77,3280200.0,22227296.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-08-24,6.78,6.89,6.78,6.8,6.77,4586400.0,31246366.0,1684700000.0,6800000000.0
sh600006,东风汽车,1999-08-25,6.81,6.96,6.78,6.84,6.8,7471200.0,51272477.0,1694610000.0,6840000000.0
sh600006,东风汽车,1999-08-26,6.84,7.15,6.83,7.05,6.84,17541200.0,123073841.0,1746637500.0,7050000000.0
sh600006,东风汽车,1999-08-27,7.09,7.1,6.97,6.99,7.05,7491900.0,52548723.0,1731772500.0,6990000000.0
sh600006,东风汽车,1999-08-30,7.0,7.04,6.95,6.95,6.99,4711900.0,32907250.0,1721862500.0,6950000000.0
sh600006,东风汽车,1999-08-31,6.97,7.02,6.92,7.0,6.95,4594200.0,32024000.0,1734250000.0,7000000000.0
sh600006,东风汽车,1999-09-01,7.0,7.0,6.8,6.82,7.0,2762400.0,19051146.0,1689655000.0,6820000000.0
sh600006,东风汽车,1999-09-02,6.8,6.94,6.78,6.9,6.82,3167000.0,21736048.0,1709475000.0,6900000000.0
sh600006,东风汽车,1999-09-03,6.9,6.92,6.7,6.74,6.9,2259700.0,15392321.0,1669835000.0,6740000000.0
sh600006,东风汽车,1999-09-06,6.74,6.84,6.7,6.75,6.74,1581200.0,10716037.0,1672312500.0,6750000000.0
sh600006,东风汽车,1999-09-07,6.76,6.86,6.71,6.77,6.75,1491500.0,10096081.0,1677267500.0,6770000000.0
sh600006,东风汽车,1999-09-08,6.8,6.87,6.76,6.79,6.77,1402700.0,9565830.0,1682222500.0,6790000000.0
sh600006,东风汽车,1999-09-09,6.9,7.12,6.88,7.1,6.79,15861100.0,111593921.0,1759025000.0,7100000000.0
sh600006,东风汽车,1999-09-10,7.16,7.48,7.08,7.22,7.1,24409400.0,177534955.0,1788755000.0,7220000000.0
sh600006,东风汽车,1999-09-13,7.27,7.45,7.25,7.3,7.22,7229500.0,52918787.0,1808575000.0,7300000000.0
sh600006,东风汽车,1999-09-14,7.33,7.38,7.1,7.18,7.3,6215600.0,44874078.0,1778845000.0,7180000000.0
sh600006,东风汽车,1999-09-15,7.2,7.29,7.16,7.2,7.18,4761600.0,34319440.0,1783800000.0,7200000000.0
sh600006,东风汽车,1999-09-16,7.2,7.27,7.15,7.16,7.2,2832500.0,20362045.0,1773890000.0,7160000000.0
sh600006,东风汽车,1999-09-17,7.16,7.3,7.1,7.19,7.16,4095700.0,29471283.0,1781322500.0,7190000000.0
sh600006,东风汽车,1999-09-20,7.19,7.22,6.98,7.0,7.19,3510300.0,24833710.0,1734250000.0,7000000000.0
sh600006,东风汽车,1999-09-21,6.99,7.05,6.9,6.95,7.0,2537000.0,17667207.0,1721862500.0,6950000000.0
sh600006,东风汽车,1999-09-22,6.94,6.98,6.9,6.95,6.95,1542100.0,10705000.0,1721862500.0,6950000000.0
sh600006,东风汽车,1999-09-23,6.95,6.97,6.83,6.87,6.95,2009900.0,13822679.0,1702042500.0,6870000000.0
sh600006,东风汽车,1999-09-24,6.96,7.01,6.9,6.93,6.87,1247100.0,8658383.0,1716907500.0,6930000000.0
sh600006,东风汽车,1999-09-27,6.97,7.0,6.85,6.86,6.93,1313900.0,9046026.0,1699565000.0,6860000000.0
sh600006,东风汽车,1999-09-28,6.87,6.95,6.84,6.89,6.86,920000.0,6331670.0,1706997500.0,6890000000.0
sh600006,东风汽车,1999-09-29,6.93,6.95,6.81,6.82,6.89,1399310.0,9596035.0,1689655000.0,6820000000.0
sh600006,东风汽车,1999-09-30,6.83,6.88,6.8,6.81,6.82,1227800.0,8377952.0,1687177500.0,6810000000.0
sh600006,东风汽车,1999-10-08,6.8,6.8,6.58,6.6,6.81,3457200.0,22972043.0,1980000000.0,6600000000.0
sh600006,东风汽车,1999-10-11,6.57,6.57,6.43,6.45,6.6,3614600.0,23475379.0,1935000000.0,6450000000.0
sh600006,东风汽车,1999-10-12,6.45,6.51,6.45,6.46,6.45,1648500.0,10670317.0,1938000000.0,6460000000.0
sh600006,东风汽车,1999-10-13,6.4,6.45,6.27,6.28,6.46,1550800.0,9818027.0,1884000000.0,6280000000.0
sh600006,东风汽车,1999-10-14,6.28,6.4,6.14,6.2,6.28,2742300.0,17103698.0,1860000000.0,6200000000.0
sh600006,东风汽车,1999-10-15,6.25,6.39,6.25,6.34,6.2,2489300.0,15737439.0,1902000000.0,6340000000.0
sh600006,东风汽车,1999-10-18,6.35,6.38,6.13,6.17,6.34,1853100.0,11510956.0,1851000000.0,6170000000.0
sh600006,东风汽车,1999-10-19,6.11,6.16,6.0,6.05,6.17,2612400.0,15836628.0,1815000000.0,6050000000.0
sh600006,东风汽车,1999-10-20,6.06,6.14,5.95,6.07,6.05,3324100.0,19900392.0,1821000000.0,6070000000.0
sh600006,东风汽车,1999-10-21,6.05,6.12,5.98,6.01,6.07,2291200.0,13773323.0,1803000000.0,6010000000.0
sh600006,东风汽车,1999-10-22,6.01,6.21,6.01,6.12,6.01,2945800.0,18102460.0,1836000000.0,6120000000.0
sh600006,东风汽车,1999-10-25,6.15,6.18,6.04,6.1,6.12,944200.0,5766374.0,1830000000.0,6100000000.0
sh600006,东风汽车,1999-10-26,6.11,6.24,6.09,6.18,6.1,1231200.0,7563686.0,1854000000.0,6180000000.0
sh600006,东风汽车,1999-10-27,6.26,6.65,6.22,6.35,6.18,9024000.0,57776505.0,1905000000.0,6350000000.0
sh600006,东风汽车,1999-10-28,6.36,6.41,6.1,6.2,6.35,3611000.0,22482576.0,1860000000.0,6200000000.0
sh600006,东风汽车,1999-10-29,6.2,6.28,6.09,6.13,6.2,2077500.0,12742921.0,1839000000.0,6130000000.0
sh600006,东风汽车,1999-11-01,6.14,6.19,6.1,6.12,6.13,851100.0,5213686.0,1836000000.0,6120000000.0
sh600006,东风汽车,1999-11-02,6.12,6.19,6.09,6.12,6.12,716800.0,4381000.0,1836000000.0,6120000000.0
sh600006,东风汽车,1999-11-03,6.1,6.13,6.05,6.07,6.12,1084800.0,6591936.0,1821000000.0,6070000000.0
sh600006,东风汽车,1999-11-04,6.07,6.08,6.02,6.06,6.07,1034100.0,6248442.0,1818000000.0,6060000000.0
sh600006,东风汽车,1999-11-05,6.06,6.14,6.04,6.05,6.06,977400.0,5933760.0,1815000000.0,6050000000.0
sh600006,东风汽车,1999-11-08,6.07,6.14,6.05,6.08,6.05,836000.0,5086250.0,1824000000.0,6080000000.0
sh600006,东风汽车,1999-11-09,6.08,6.15,6.03,6.05,6.08,971600.0,5912963.0,1815000000.0,6050000000.0
sh600006,东风汽车,1999-11-10,6.05,6.05,5.9,6.0,6.05,2854300.0,17025578.0,1800000000.0,6000000000.0
sh600006,东风汽车,1999-11-11,6.0,6.1,5.9,5.92,6.0,1249700.0,7456029.0,1776000000.0,5920000000.0
sh600006,东风汽车,1999-11-12,5.98,5.99,5.9,5.94,5.92,959500.0,5685427.0,1782000000.0,5940000000.0
sh600006,东风汽车,1999-11-15,5.99,6.05,5.88,5.89,5.94,1047600.0,6182997.0,1767000000.0,5890000000.0
sh600006,东风汽车,1999-11-16,5.58,5.65,5.3,5.4,5.89,7003800.0,38080477.0,1620000000.0,5400000000.0
sh600006,东风汽车,1999-11-17,5.42,5.54,5.4,5.54,5.4,3722900.0,20383833.0,1662000000.0,5540000000.0
sh600006,东风汽车,1999-11-18,5.56,5.63,5.45,5.57,5.54,2802500.0,15545528.0,1671000000.0,5570000000.0
sh600006,东风汽车,1999-11-19,5.59,5.59,5.46,5.47,5.57,2142700.0,11784814.0,1641000000.0,5470000000.0
sh600006,东风汽车,1999-11-22,5.5,5.5,5.31,5.36,5.47,3298300.0,17655286.0,1608000000.0,5360000000.0
sh600006,东风汽车,1999-11-23,5.38,5.41,5.3,5.4,5.36,2644200.0,14155895.0,1620000000.0,5400000000.0
sh600006,东风汽车,1999-11-24,5.41,5.43,5.33,5.35,5.4,1472000.0,7883948.0,1605000000.0,5350000000.0
sh600006,东风汽车,1999-11-25,5.35,5.35,5.2,5.26,5.35,3229300.0,16988095.0,1578000000.0,5260000000.0
sh600006,东风汽车,1999-11-26,5.25,5.3,5.23,5.28,5.26,1299900.0,6852894.0,1584000000.0,5280000000.0
sh600006,东风汽车,1999-11-29,5.3,5.32,5.26,5.26,5.28,1340900.0,7085271.0,1578000000.0,5260000000.0
sh600006,东风汽车,1999-11-30,5.26,5.3,5.24,5.3,5.26,1003900.0,5295730.0,1590000000.0,5300000000.0
sh600006,东风汽车,1999-12-01,5.34,5.35,5.28,5.32,5.3,1104900.0,5867742.0,1596000000.0,5320000000.0
sh600006,东风汽车,1999-12-02,5.3,5.31,5.26,5.27,5.32,1105300.0,5833096.0,1581000000.0,5270000000.0
sh600006,东风汽车,1999-12-03,5.27,5.29,5.25,5.25,5.27,1266200.0,6666392.0,1575000000.0,5250000000.0
sh600006,东风汽车,1999-12-06,5.26,5.27,5.18,5.19,5.25,2181600.0,11360413.0,1557000000.0,5190000000.0
sh600006,东风汽车,1999-12-07,5.19,5.26,5.19,5.22,5.19,1624100.0,8487510.0,1566000000.0,5220000000.0
sh600006,东风汽车,1999-12-08,5.22,5.25,5.11,5.16,5.22,2301100.0,11875410.0,1548000000.0,5160000000.0
sh600006,东风汽车,1999-12-09,5.16,5.18,5.11,5.11,5.16,2026600.0,10381925.0,1533000000.0,5110000000.0
sh600006,东风汽车,1999-12-10,5.12,5.15,5.11,5.14,5.11,2041942.0,10461544.0,1542000000.0,5140000000.0
sh600006,东风汽车,1999-12-13,5.15,5.27,5.15,5.18,5.14,2249400.0,11751329.0,1554000000.0,5180000000.0
sh600006,东风汽车,1999-12-14,5.17,5.21,5.12,5.16,5.18,2110600.0,10896027.0,1548000000.0,5160000000.0
sh600006,东风汽车,1999-12-15,5.17,5.31,5.17,5.29,5.16,4365700.0,22918415.0,1587000000.0,5290000000.0
sh600006,东风汽车,1999-12-16,5.28,5.28,5.15,5.16,5.29,1269400.0,6587316.0,1548000000.0,5160000000.0
sh600006,东风汽车,1999-12-17,5.18,5.18,5.1,5.12,5.16,1935200.0,9910252.0,1536000000.0,5120000000.0
sh600006,东风汽车,1999-12-21,5.11,5.11,4.99,5.0,5.12,2305200.0,11573042.0,1500000000.0,5000000000.0
sh600006,东风汽车,1999-12-22,5.0,5.05,4.95,4.97,5.0,1630500.0,8121602.0,1491000000.0,4970000000.0
sh600006,东风汽车,1999-12-23,4.97,5.0,4.85,4.9,4.97,1911250.0,9355458.0,1470000000.0,4900000000.0
sh600006,东风汽车,1999-12-24,4.9,4.98,4.87,4.93,4.9,808000.0,3967721.0,1479000000.0,4930000000.0
sh600006,东风汽车,1999-12-27,4.95,4.96,4.79,4.8,4.93,1423000.0,6923000.0,1440000000.0,4800000000.0
sh600006,东风汽车,1999-12-28,4.8,4.95,4.74,4.76,4.8,1724300.0,8289468.0,1428000000.0,4760000000.0
sh600006,东风汽车,1999-12-29,4.8,4.97,4.76,4.89,4.76,2405500.0,11709091.0,1467000000.0,4890000000.0
sh600006,东风汽车,1999-12-30,4.92,4.95,4.87,4.9,4.89,1009100.0,4950000.0,1470000000.0,4900000000.0
